# x_k, theta_k, xd_k, thetad_k, tau_k, x_k+1, theta_k+1, xd_k+1, thetad_k+1
1.961509725233041498e-02,1.341616351839125809e-01,0.000000000000000000e+00,-2.141181516423707742e-01,1.796875000000000000e-01,1.975323174002288282e-02,1.324543562475879177e-01,1.372901197285529389e-02,-1.331580545039618979e-01
1.975323174002288282e-02,1.324543562475879177e-01,1.372901197285529389e-02,-1.331580545039618979e-01,1.875000000000000000e-01,2.002950071540781501e-02,1.312810965001191266e-01,2.728089625739666194e-02,-1.054611791671378335e-01
2.002950071540781501e-02,1.312810965001191266e-01,2.728089625739666194e-02,-1.054611791671378335e-01,1.875000000000000000e-01,2.030576969079275415e-02,1.288355584664168385e-01,2.888153506973781953e-02,-2.535329357755434776e-01
2.030576969079275415e-02,1.288355584664168385e-01,2.888153506973781953e-02,-2.535329357755434776e-01,1.718750000000000000e-01,2.044390417848521851e-02,1.262428973953087508e-01,1.374073364796530271e-02,-2.151834160784024397e-01
2.044390417848521851e-02,1.262428973953087508e-01,1.374073364796530271e-02,-2.151834160784024397e-01,1.796875000000000000e-01,2.072017315387015418e-02,1.241413518593328380e-01,2.723793118642594754e-02,-1.874865407415783614e-01
2.072017315387015418e-02,1.241413518593328380e-01,2.723793118642594754e-02,-1.874865407415783614e-01,1.640625000000000000e-01,2.099644212925508985e-02,1.222430227127618563e-01,2.749711844837408881e-02,-1.533980787885641239e-01
2.099644212925508985e-02,1.222430227127618563e-01,2.749711844837408881e-02,-1.533980787885641239e-01,1.367187500000000000e-01,2.113457661694755768e-02,1.212305889713230916e-01,1.426161315117478387e-02,-5.539375067364815663e-02
2.113457661694755768e-02,1.212305889713230916e-01,1.426161315117478387e-02,-5.539375067364815663e-02,1.289062500000000000e-01,2.127271110464002898e-02,1.206736933292609781e-01,1.290029467105618943e-02,-2.130528872063390533e-02
2.127271110464002898e-02,1.206736933292609781e-01,1.290029467105618943e-02,-2.130528872063390533e-02,1.171875000000000000e-01,2.141084559233249335e-02,1.212467339566652147e-01,1.409438865075186668e-02,1.054611791671378335e-01
2.141084559233249335e-02,1.212467339566652147e-01,1.409438865075186668e-02,1.054611791671378335e-01,8.593750000000000000e-02,2.141084559233249335e-02,1.223250504012029505e-01,-0.000000000000000000e+00,1.012001214230110607e-01
2.141084559233249335e-02,1.223250504012029505e-01,-0.000000000000000000e+00,1.012001214230110607e-01,6.640625000000000000e-02,2.141084559233249335e-02,1.224465332400568179e-01,-0.000000000000000000e+00,-2.130528872063390533e-02
2.141084559233249335e-02,1.224465332400568179e-01,-0.000000000000000000e+00,-2.130528872063390533e-02,5.859375000000000000e-02,2.141084559233249335e-02,1.218133044261558162e-01,-0.000000000000000000e+00,2.663161090079238166e-02
2.141084559233249335e-02,1.218133044261558162e-01,-0.000000000000000000e+00,2.663161090079238166e-02,5.468750000000000000e-02,2.141084559233249335e-02,1.225091630007450194e-01,-0.000000000000000000e+00,6.391586616190171599e-02
2.141084559233249335e-02,1.225091630007450194e-01,-0.000000000000000000e+00,6.391586616190171599e-02,4.296875000000000000e-02,2.141084559233249335e-02,1.236544112723080430e-01,-0.000000000000000000e+00,1.491370210444373512e-01
2.141084559233249335e-02,1.236544112723080430e-01,-0.000000000000000000e+00,1.491370210444373512e-01,2.343750000000000000e-02,2.141084559233249335e-02,1.253622924201882038e-01,-0.000000000000000000e+00,2.141181516423707742e-01
2.141084559233249335e-02,1.253622924201882038e-01,-0.000000000000000000e+00,2.141181516423707742e-01,3.906250000000000000e-03,2.141084559233249335e-02,1.277579865977019891e-01,-0.000000000000000000e+00,2.737729600601456759e-01
2.141084559233249335e-02,1.277579865977019891e-01,-0.000000000000000000e+00,2.737729600601456759e-01,-1.171875000000000000e-02,2.141084559233249335e-02,1.308470780912563691e-01,-0.000000000000000000e+00,3.419498839661741507e-01
2.141084559233249335e-02,1.308470780912563691e-01,-0.000000000000000000e+00,3.419498839661741507e-01,-3.906250000000000000e-02,2.141084559233249335e-02,1.346484596735338657e-01,-0.000000000000000000e+00,4.175836589244245611e-01
2.141084559233249335e-02,1.346484596735338657e-01,-0.000000000000000000e+00,4.175836589244245611e-01,-6.640625000000000000e-02,2.141084559233249335e-02,1.390481997671590142e-01,-0.000000000000000000e+00,4.783037317782311559e-01
2.141084559233249335e-02,1.390481997671590142e-01,-0.000000000000000000e+00,4.783037317782311559e-01,-9.765625000000000000e-02,2.141084559233249335e-02,1.439982278939550275e-01,-0.000000000000000000e+00,5.368932757599743644e-01
2.141084559233249335e-02,1.439982278939550275e-01,-0.000000000000000000e+00,5.368932757599743644e-01,-1.289062500000000000e-01,2.141084559233249335e-02,1.493279492283958731e-01,-0.000000000000000000e+00,5.400890690680694162e-01
2.141084559233249335e-02,1.493279492283958731e-01,-0.000000000000000000e+00,5.400890690680694162e-01,-1.757812500000000000e-01,2.127271110464002898e-02,1.539293961768163910e-01,-1.425073874130403963e-02,4.655205585458508377e-01
2.127271110464002898e-02,1.539293961768163910e-01,-1.425073874130403963e-02,4.655205585458508377e-01,-2.187500000000000000e-01,2.113457661694755768e-02,1.575732676582399239e-01,-1.395318339875431871e-02,3.675162304309348982e-01
2.113457661694755768e-02,1.575732676582399239e-01,-1.395318339875431871e-02,3.675162304309348982e-01,-2.812500000000000000e-01,2.085830764156262548e-02,1.598367129230943706e-01,-2.732013176151583400e-02,1.970739206658636278e-01
2.085830764156262548e-02,1.598367129230943706e-01,-2.732013176151583400e-02,1.970739206658636278e-01,-3.164062500000000000e-01,2.044390417848521851e-02,1.604962276883901418e-01,-4.035790152315892054e-02,4.687163518539459034e-02
2.044390417848521851e-02,1.604962276883901418e-01,-4.035790152315892054e-02,4.687163518539459034e-02,-3.476562500000000000e-01,1.989136622771535065e-02,1.591990373644712464e-01,-5.651503736108140497e-02,-1.395496411201520848e-01
1.989136622771535065e-02,1.591990373644712464e-01,-5.651503736108140497e-02,-1.395496411201520848e-01,-3.554687500000000000e-01,1.920069378925301148e-02,1.566573730260680808e-01,-6.850545489943341004e-02,-2.354234403630046657e-01
1.920069378925301148e-02,1.566573730260680808e-01,-6.850545489943341004e-02,-2.354234403630046657e-01,-3.828125000000000000e-01,1.823375237540574012e-02,1.528238306924474821e-01,-9.366388544723495968e-02,-4.048004856920442429e-01
1.823375237540574012e-02,1.528238306924474821e-01,-9.366388544723495968e-02,-4.048004856920442429e-01,-4.023437500000000000e-01,1.712867647386599745e-02,1.477123759863959718e-01,-1.084292295162642694e-01,-5.336974824518793126e-01
1.712867647386599745e-02,1.477123759863959718e-01,-1.084292295162642694e-01,-5.336974824518793126e-01,-3.867187500000000000e-01,1.602360057232625479e-02,1.403954483427292954e-01,-1.144620011392240705e-01,-7.627293361986937636e-01
1.602360057232625479e-02,1.403954483427292954e-01,-1.144620011392240705e-01,-7.627293361986937636e-01,-3.906250000000000000e-01,1.478039018309404602e-02,1.335818130996058728e-01,-1.246838265081708919e-01,-6.679208013918729314e-01
1.478039018309404602e-02,1.335818130996058728e-01,-1.246838265081708919e-01,-6.679208013918729314e-01,-3.945312500000000000e-01,1.339904530616936595e-02,1.251363061986370817e-01,-1.407623989957407784e-01,-8.394283755929757840e-01
1.339904530616936595e-02,1.251363061986370817e-01,-1.407623989957407784e-01,-8.394283755929757840e-01,-3.789062500000000000e-01,1.201770042924468936e-02,1.159951601350227846e-01,-1.345794602370370407e-01,-9.001484484467824343e-01
1.201770042924468936e-02,1.159951601350227846e-01,-1.345794602370370407e-01,-9.001484484467824343e-01,-3.750000000000000000e-01,1.063635555232001449e-02,1.074734495099146508e-01,-1.428763863447183036e-01,-8.543420776974196551e-01
1.063635555232001449e-02,1.074734495099146508e-01,-1.428763863447183036e-01,-8.543420776974196551e-01,-3.906250000000000000e-01,9.255010675395336159e-03,9.790471523907723350e-02,-1.364558831499724789e-01,-9.363674392718600581e-01
9.255010675395336159e-03,9.790471523907723350e-02,-1.364558831499724789e-01,-9.363674392718600581e-01,-3.945312500000000000e-01,7.735531310778192594e-03,8.905864255650998429e-02,-1.500767290757581973e-01,-8.873652752144021161e-01
7.735531310778192594e-03,8.905864255650998429e-02,-1.500767290757581973e-01,-8.873652752144021161e-01,-3.945312500000000000e-01,6.216051946161046428e-03,7.937739661885684361e-02,-1.494117542358727457e-01,-9.757822234050328447e-01
6.216051946161046428e-03,7.937739661885684361e-02,-1.494117542358727457e-01,-9.757822234050328447e-01,-3.867187500000000000e-01,4.696572581543902863e-03,7.029080067735929416e-02,-1.581821389161366387e-01,-9.171926794232895253e-01
4.696572581543902863e-03,7.029080067735929416e-02,-1.581821389161366387e-01,-9.171926794232895253e-01,-3.867187500000000000e-01,2.900824241541821898e-03,6.047391801245065313e-02,-1.587738615764595351e-01,-9.949569832536033775e-01
2.900824241541821898e-03,6.047391801245065313e-02,-1.587738615764595351e-01,-9.949569832536033775e-01,-3.906250000000000000e-01,1.519479364617144432e-03,5.071462060662080412e-02,-1.561076774981053350e-01,-9.278453237836065126e-01
1.519479364617144432e-03,5.071462060662080412e-02,-1.561076774981053350e-01,-9.278453237836065126e-01,-3.671875000000000000e-01,0.000000000000000000e+00,4.129458632278346086e-02,-1.520568410023417083e-01,-9.438242903240821047e-01
0.000000000000000000e+00,4.129458632278346086e-02,-1.520568410023417083e-01,-9.438242903240821047e-01,-3.750000000000000000e-01,-1.657613852309612265e-03,3.142613075196010186e-02,-1.603518707319898651e-01,-9.512811413763039292e-01
-1.657613852309612265e-03,3.142613075196010186e-02,-1.603518707319898651e-01,-9.512811413763039292e-01,-3.554687500000000000e-01,-3.177093216926756697e-03,2.236903991155059918e-02,-1.511875119070823226e-01,-8.852347463423387852e-01
-3.177093216926756697e-03,2.236903991155059918e-02,-1.511875119070823226e-01,-8.852347463423387852e-01,-3.593750000000000000e-01,-4.558438093851435030e-03,1.401128021861158465e-02,-1.440199941003923456e-01,-8.159925580002785894e-01
-4.558438093851435030e-03,1.401128021861158465e-02,-1.440199941003923456e-01,-8.159925580002785894e-01,-3.593750000000000000e-01,-6.216051946161046428e-03,6.007243373368469606e-03,-1.585599436963513464e-01,-7.904262115355179530e-01
-6.216051946161046428e-03,6.007243373368469606e-03,-1.585599436963513464e-01,-7.904262115355179530e-01,-3.515625000000000000e-01,-7.597396823085724761e-03,-1.821447986281800281e-03,-1.424723440383781625e-01,-7.765777738671058028e-01
-7.597396823085724761e-03,-1.821447986281800281e-03,-1.424723440383781625e-01,-7.765777738671058028e-01,-3.359375000000000000e-01,-9.116876187702870060e-03,-9.945593808914092795e-03,-1.508368450471255229e-01,-8.127967646921834266e-01
-9.116876187702870060e-03,-9.945593808914092795e-03,-1.508368450471255229e-01,-8.127967646921834266e-01,-3.164062500000000000e-01,-1.049822106462754492e-02,-1.832432239476686556e-02,-1.416156712618467095e-01,-8.372978467209125641e-01
-1.049822106462754492e-02,-1.832432239476686556e-02,-1.416156712618467095e-01,-8.372978467209125641e-01,-3.007812500000000000e-01,-1.187956594155222152e-02,-2.714770459189411872e-02,-1.347202795578449908e-01,-8.905610685224971679e-01
-1.187956594155222152e-02,-2.714770459189411872e-02,-1.347202795578449908e-01,-8.905610685224971679e-01,-2.812500000000000000e-01,-1.312277633078443202e-02,-3.664268227024208152e-02,-1.257330803529662089e-01,-9.683253723528110202e-01
-1.312277633078443202e-02,-3.664268227024208152e-02,-1.257330803529662089e-01,-9.683253723528110202e-01,-2.500000000000000000e-01,-1.422785223232417295e-02,-4.414588407268974640e-02,-1.079997267780073017e-01,-5.624596222247351118e-01
-1.422785223232417295e-02,-4.414588407268974640e-02,-1.079997267780073017e-01,-5.624596222247351118e-01,-2.617187500000000000e-01,-1.547106262155638519e-02,-4.520707153894842206e-02,-1.199181820113199293e-01,-1.043959147311061403e-01
-1.547106262155638519e-02,-4.520707153894842206e-02,-1.199181820113199293e-01,-1.043959147311061403e-01,-2.851562500000000000e-01,-1.643800403540365829e-02,-4.694675730988968204e-02,-1.011357881315995411e-01,-1.672465164569761353e-01
-1.643800403540365829e-02,-4.694675730988968204e-02,-1.011357881315995411e-01,-1.672465164569761353e-01,-2.890625000000000000e-01,-1.740494544925093312e-02,-4.797533030143338179e-02,-9.808566895291870313e-02,-9.054747706269410112e-02
