# x_k, theta_k, xd_k, thetad_k, tau_k, x_k+1, theta_k+1, xd_k+1, thetad_k+1
-4.633030717205367521e-01,-2.272311482294097074e-01,0.000000000000000000e+00,-3.515372638904594171e-01,-1.210937500000000000e-01,-4.639937441589990774e-01,-2.254749761437312428e-01,-1.150061602815657391e-01,2.599245223917336367e-01
-4.639937441589990774e-01,-2.254749761437312428e-01,-1.150061602815657391e-01,2.599245223917336367e-01,-8.203125000000000000e-02,-4.646844165974613472e-01,-2.219862919853080874e-01,-7.461980761764107350e-02,4.687163518539458895e-01
-4.646844165974613472e-01,-2.219862919853080874e-01,-7.461980761764107350e-02,4.687163518539458895e-01,-6.640625000000000000e-02,-4.653750890359236725e-01,-2.156989401882460355e-01,-6.990396398089716856e-02,6.103965218461614439e-01
-4.653750890359236725e-01,-2.156989401882460355e-01,-6.990396398089716856e-02,6.103965218461614439e-01,-7.421875000000000000e-02,-4.657894924990011454e-01,-2.077639538331889357e-01,-4.444787374503501864e-02,8.511462843893244923e-01
-4.657894924990011454e-01,-2.077639538331889357e-01,-4.444787374503501864e-02,8.511462843893244923e-01,-8.593750000000000000e-02,-4.659276269866935438e-01,-1.997428568215654232e-01,-1.355428785276016970e-02,7.797735671752008546e-01
-4.659276269866935438e-01,-1.997428568215654232e-01,-1.355428785276016970e-02,7.797735671752008546e-01,-1.210937500000000000e-01,-4.660657614743860533e-01,-1.923356697290637685e-01,-1.362985871521905229e-02,6.988134700367920615e-01
-4.660657614743860533e-01,-1.923356697290637685e-01,-1.362985871521905229e-02,6.988134700367920615e-01,-1.484375000000000000e-01,-4.662038959620785072e-01,-1.857719150263857644e-01,-1.393807819155435529e-02,6.221144306425100412e-01
-4.662038959620785072e-01,-1.857719150263857644e-01,-1.393807819155435529e-02,6.221144306425100412e-01,-1.679687500000000000e-01,-4.663420304497710167e-01,-1.799994182007495502e-01,-1.384515100883053698e-02,5.177185159114039426e-01
-4.663420304497710167e-01,-1.799994182007495502e-01,-1.384515100883053698e-02,5.177185159114039426e-01,-1.640625000000000000e-01,-4.666182994251558691e-01,-1.751246382679675917e-01,-2.742617913687017683e-02,4.538026497495021294e-01
-4.666182994251558691e-01,-1.751246382679675917e-01,-2.742617913687017683e-02,4.538026497495021294e-01,-1.562500000000000000e-01,-4.667564339128483786e-01,-1.712793130425115939e-01,-1.318236295571275848e-02,3.557983216345862454e-01
-4.667564339128483786e-01,-1.712793130425115939e-01,-1.318236295571275848e-02,3.557983216345862454e-01,-1.367187500000000000e-01,-4.668945684005408325e-01,-1.677340570923182006e-01,-1.439627368037101410e-02,3.153182730653817933e-01
-4.668945684005408325e-01,-1.677340570923182006e-01,-1.439627368037101410e-02,3.153182730653817933e-01,-1.250000000000000000e-01,-4.670327028882333420e-01,-1.652881869804391779e-01,-1.353339175133800969e-02,2.258360604387193993e-01
-4.670327028882333420e-01,-1.652881869804391779e-01,-1.353339175133800969e-02,2.258360604387193993e-01,-1.132812500000000000e-01,-4.670327028882333420e-01,-1.631369235987247812e-01,-0.000000000000000000e+00,1.981391851018952932e-01
-4.670327028882333420e-01,-1.631369235987247812e-01,-0.000000000000000000e+00,1.981391851018952932e-01,-9.375000000000000000e-02,-4.671708373759257960e-01,-1.613775169096641482e-01,-1.382071120122448094e-02,1.544633432245958171e-01
-4.671708373759257960e-01,-1.613775169096641482e-01,-1.382071120122448094e-02,1.544633432245958171e-01,-7.421875000000000000e-02,-4.671708373759257960e-01,-1.599547690307931702e-01,-0.000000000000000000e+00,1.097222369112646062e-01
-4.671708373759257960e-01,-1.599547690307931702e-01,-0.000000000000000000e+00,1.097222369112646062e-01,-6.250000000000000000e-02,-4.671708373759257960e-01,-1.597784452957838330e-01,-0.000000000000000000e+00,-2.876213977285577150e-02
-4.671708373759257960e-01,-1.597784452957838330e-01,-0.000000000000000000e+00,-2.876213977285577150e-02,-4.687500000000000000e-02,-4.671708373759257960e-01,-1.607868684198886233e-01,-0.000000000000000000e+00,-1.363538478120569775e-01
-4.671708373759257960e-01,-1.607868684198886233e-01,-0.000000000000000000e+00,-1.363538478120569775e-01,-2.343750000000000000e-02,-4.671708373759257960e-01,-1.629384832525281879e-01,-0.000000000000000000e+00,-2.631203156998287440e-01
-4.671708373759257960e-01,-1.629384832525281879e-01,-0.000000000000000000e+00,-2.631203156998287440e-01,-0.000000000000000000e+00,-4.671708373759257960e-01,-1.663108826962681475e-01,-0.000000000000000000e+00,-3.728425526110933363e-01
-4.671708373759257960e-01,-1.663108826962681475e-01,-0.000000000000000000e+00,-3.728425526110933363e-01,2.734375000000000000e-02,-4.671708373759257960e-01,-1.708745204394364059e-01,-0.000000000000000000e+00,-5.049353426790236243e-01
-4.671708373759257960e-01,-1.708745204394364059e-01,-0.000000000000000000e+00,-5.049353426790236243e-01,5.859375000000000000e-02,-4.671708373759257960e-01,-1.766358176539594427e-01,-0.000000000000000000e+00,-6.157228440263199376e-01
-4.671708373759257960e-01,-1.766358176539594427e-01,-0.000000000000000000e+00,-6.157228440263199376e-01,9.765625000000000000e-02,-4.671708373759257960e-01,-1.834595527916831892e-01,-0.000000000000000000e+00,-7.211840231934577572e-01
